Metadata Name,Profiles,Permission Sets,Permission Set Groups
CaptureUserPresence,['System Administrator'],"['SMS Magic Academic Advising', 'SMS Magic First Year Success Coach']","['SMS Magic Users - Academic Advisors Manager', 'SMS Magic Users - Academic Advisors Staff', 'SMS Magic Users - FYS']"
CaseDetailRelatedCases,"['ASU Service - MasterCard Program', 'ASU Service - Public Service Academy', 'ASU Service - Biosafety', 'ASU Service - New College Deans Office', 'ASU Service - Engineering - K12 Engineering Education', 'ASU Service - University Events & Protocol', 'ASU Service - Psychology Research Advancement', 'ASU Service - ASU Local', 'ASU Service - The College - Interplanetary Initiatives', 'ASU Service - Watts Bridging Success', 'ASU Service - ASU Family Programs', 'ASU Service - TC SOLS Academic Integrity', 'ASU Service - DNASU Plasmid Repository', 'ASU Recruitment - Team (ESISD)', 'ASU Service - Success Courses', 'ASU Service - Opportunities for Youth', 'ASU Service - ATCS and Study Abroad', 'ASU Service - TC - SCETL', 'ASU Service - Explore', 'ASU Service - College of Global Futures', 'ASU Service - Enrollment Analysis', 'ASU Service - International Students and Scholars Center SMS', 'ASU Service - Engineering - Poly HR', 'ASU Service - Information Technology Support Hub', 'ASU Service - SMS API', 'ASU Service - Design and the Arts', 'ASU Service - International Initiatives Graduate Education', 'ASU Service - W. P. Carey Business', 'ASU Service - Parking and Transit Services', 'ASU Service - First Year Success Center', 'ASU Service - Pat Tillman Veteran Center', 'ASU Service - Thunderbird', 'ASU Service - EOSS', 'ASU Service - Sun Devil Card Services', 'ASU Service - Career Services', 'ASU Service - University Academic Success Programs', 'ASU Service - Honors', 'ASU Service - Journalism', 'ASU Service - Office of the University Provost', 'ASU Service - TC - AIS', 'ASU Service - TC  - The Sanford School', 'ASU Service - TC - SST', 'ASU Service - TC - Army ROTC', 'ASU Service - ASU Salesforce Support', 'ASU Service - International Students and Scholars Center', 'ASU Recruitment - Graduate Recruiter', 'ASU Service - School for the Future of Innovation in Society', 'ASU Service - American Indian Student Support Services', 'ASU Service - ASU Wellness', 'ASU Service - Student Engagement', 'ASU Service - TRIO', 'ASU Service - TC - Air Force ROTC', 'ASU Service - TC - Navy ROTC', 'ASU Service - Fraternity & Sorority Life', 'ASU Service - Dean of Students', 'ASU Service - Enterprise Marketing Hub', 'ASU Service - Print Anywhere Tier 2', 'ASU Service - Sun Devil Fitness', 'ASU Service - MU Information Desk', 'ASU Service - Sun Devil Dining', 'ASU Service - Student Government', 'ASU Service - Strategic Initiatives', 'ASU Read Only', 'ASU Marketing User', 'ASU Service - Financial Aid', 'ASU Service - Registrar', 'ASU Service - Student Business Services', 'ASU View All Data', 'ASU Service - ASU Online', 'ASU Service - ESM Online', 'ASU Service - Help Desk', 'ASU Service - W. P. Carey Tech Services', 'ASU Service - Tech Studio', 'ASU Service - Engineering IT', 'ASU Service - Identity Management', 'ASU Service - Student Success Innovations', 'ASU Service - Office of the President', 'ASU Service - Library Services(ARCHIVE)', 'ASU Service - Integrated Services', 'ASU Service - TEMPLATE', 'ASU Service - Graduate College', 'ASU Recruitment - Applicant Services', 'ASU Recruitment - Business Operations', 'ASU Recruitment - Freshman Recruiter', 'ASU Recruitment - Admission Services', 'ASU Recruitment - Transfer Recruiter', 'ASU Recruitment - International Recruiter', 'ASU Recruitment - Events', 'ASU Recruitment - Havasu', 'ASU Recruitment - Leads (ESISD)', ""ASU Service - Engineering - Dean's Office"", 'ASU Service - Engineering - GOEE', 'ASU Service - Engineering - Poly', 'ASU Service - Engineering - SBHSE', 'ASU Service - Engineering - SEMTE', 'ASU Service - Engineering - SSEBE', 'ASU Service - Engineering - ECEE', 'ASU Service - Engineering - CIDSE', 'ASU Service - Access ASU Outreach', 'ASU Service - New Student Programs', 'ASU Service - University Housing', 'ASU Training - College of ASU', 'ASU Training - Department of ASU', 'ASU Service - Sustainability', 'ASU Service - Teachers College', 'ASU Service - Public Service', 'ASU Service - Nursing', 'ASU Service - Health Solutions', 'ASU Service - New College', 'ASU Service - Universal Learner Courses', 'ASU Service - LMS Support', 'ASU Service - Academic Transfer Credit Solutions', ""ASU Service - TC - Dean's Office"", 'ASU Service - TC - English', 'ASU Service - TC - SILC', 'ASU Service - TC - SHPRS', 'ASU Service - TC - SESE', 'ASU Service - TC - SOLS', 'ASU Service - TC - SoMSS', 'ASU Service - TC  - SMS', 'ASU Service - TC - Physics', 'ASU Service - TC - Psychology', 'ASU Service - Curricular Activities and Actions', 'ASU Service - TC - STS', 'ASU Service - TC - SGSUP', 'ASU Service - TC - HDSHC', 'ASU Service - TC - SPGS', 'ASU Service - TC - SHESC', 'ASU Service - Integrative Sciences and Arts', 'ASU Service - Global Education Office', 'ASU Service - Student & Cultural Engagement', 'ASU Service - International Student Engagement', 'ASU Service - Changemaker Central', 'ASU Recruitment - Freshman Recruiter (Temp Access to Org Wide)', 'ASU Service - Sun Devil Athletics', 'ASU Service - Office of the President (Temp Access to Org Wide)', 'ASU Service - ASU-USA Pathways', 'ASU Service - First in the World Grant', 'ASU Service - ITCSS Library Services', 'ASU Service - Success Coach', 'ASU Service - TC - ISSR', 'ASU Service - Academic Partnerships', 'ASU Service - Student Accessibility and Inclusive Learning Services', 'ASU Recruitment - Business Intelligence', 'System Administrator']",['Role: EdPlus Coach Portal (Non-Success Coach)'],[]
CaseDetailWithClassification,"['ASU Service - MasterCard Program', 'ASU Service - Public Service Academy', 'ASU Service - Biosafety', 'ASU Service - New College Deans Office', 'ASU Service - Engineering - K12 Engineering Education', 'ASU Service - University Events & Protocol', 'ASU Service - Psychology Research Advancement', 'ASU Service - ASU Local', 'ASU Service - The College - Interplanetary Initiatives', 'ASU Service - Watts Bridging Success', 'ASU Service - ASU Family Programs', 'ASU Service - TC SOLS Academic Integrity', 'ASU Service - DNASU Plasmid Repository', 'ASU Recruitment - Team (ESISD)', 'ASU Service - Success Courses', 'ASU Service - Opportunities for Youth', 'ASU Service - ATCS and Study Abroad', 'ASU Service - TC - SCETL', 'ASU Service - Explore', 'ASU Service - College of Global Futures', 'ASU Service - Enrollment Analysis', 'ASU Service - International Students and Scholars Center SMS', 'ASU Service - Engineering - Poly HR', 'ASU Service - Information Technology Support Hub', 'ASU Service - SMS API', 'ASU Service - Design and the Arts', 'ASU Service - International Initiatives Graduate Education', 'ASU Service - W. P. Carey Business', 'ASU Service - Parking and Transit Services', 'ASU Service - First Year Success Center', 'ASU Service - Pat Tillman Veteran Center', 'ASU Service - Thunderbird', 'ASU Service - EOSS', 'ASU Service - Sun Devil Card Services', 'ASU Service - Career Services', 'ASU Service - University Academic Success Programs', 'ASU Service - Honors', 'ASU Service - Journalism', 'ASU Service - Office of the University Provost', 'ASU Service - TC - AIS', 'ASU Service - TC  - The Sanford School', 'ASU Service - TC - SST', 'ASU Service - TC - Army ROTC', 'ASU Service - ASU Salesforce Support', 'ASU Service - International Students and Scholars Center', 'ASU Recruitment - Graduate Recruiter', 'ASU Service - School for the Future of Innovation in Society', 'ASU Service - American Indian Student Support Services', 'ASU Service - ASU Wellness', 'ASU Service - Student Engagement', 'ASU Service - TRIO', 'ASU Service - TC - Air Force ROTC', 'ASU Service - TC - Navy ROTC', 'ASU Service - Fraternity & Sorority Life', 'ASU Service - Dean of Students', 'ASU Service - Enterprise Marketing Hub', 'ASU Service - Print Anywhere Tier 2', 'ASU Service - Sun Devil Fitness', 'ASU Service - MU Information Desk', 'ASU Service - Sun Devil Dining', 'ASU Service - Student Government', 'ASU Service - Strategic Initiatives', 'ASU Read Only', 'ASU Service - Financial Aid', 'ASU Service - Registrar', 'ASU Service - Student Business Services', 'ASU View All Data', 'ASU Service - ASU Online', 'ASU Service - ESM Online', 'ASU Service - Help Desk', 'ASU Service - W. P. Carey Tech Services', 'ASU Service - Tech Studio', 'ASU Service - Engineering IT', 'ASU Service - Identity Management', 'ASU Service - Student Success Innovations', 'ASU Service - Office of the President', 'ASU Service - Library Services(ARCHIVE)', 'ASU Service - Integrated Services', 'ASU Service - TEMPLATE', 'ASU Service - Graduate College', 'ASU Recruitment - Applicant Services', 'ASU Recruitment - Business Operations', 'ASU Recruitment - Freshman Recruiter', 'ASU Recruitment - Admission Services', 'ASU Recruitment - Transfer Recruiter', 'ASU Recruitment - International Recruiter', 'ASU Recruitment - Events', 'ASU Recruitment - Havasu', 'ASU Recruitment - Leads (ESISD)', ""ASU Service - Engineering - Dean's Office"", 'ASU Service - Engineering - GOEE', 'ASU Service - Engineering - Poly', 'ASU Service - Engineering - SBHSE', 'ASU Service - Engineering - SEMTE', 'ASU Service - Engineering - SSEBE', 'ASU Service - Engineering - ECEE', 'ASU Service - Engineering - CIDSE', 'ASU Service - Access ASU Outreach', 'ASU Service - New Student Programs', 'ASU Service - University Housing', 'ASU Training - College of ASU', 'ASU Training - Department of ASU', 'ASU Service - Sustainability', 'ASU Service - Teachers College', 'ASU Service - Public Service', 'ASU Service - Nursing', 'ASU Service - Health Solutions', 'ASU Service - New College', 'ASU Service - Universal Learner Courses', 'ASU Service - LMS Support', 'ASU Service - Academic Transfer Credit Solutions', ""ASU Service - TC - Dean's Office"", 'ASU Service - TC - English', 'ASU Service - TC - SILC', 'ASU Service - TC - SHPRS', 'ASU Service - TC - SESE', 'ASU Service - TC - SOLS', 'ASU Service - TC - SoMSS', 'ASU Service - TC  - SMS', 'ASU Service - TC - Physics', 'ASU Service - TC - Psychology', 'ASU Service - Curricular Activities and Actions', 'ASU Service - TC - STS', 'ASU Service - TC - SGSUP', 'ASU Service - TC - HDSHC', 'ASU Service - TC - SPGS', 'ASU Service - TC - SHESC', 'ASU Service - Integrative Sciences and Arts', 'ASU Service - Global Education Office', 'ASU Service - Student & Cultural Engagement', 'ASU Service - International Student Engagement', 'ASU Service - Changemaker Central', 'ASU Recruitment - Freshman Recruiter (Temp Access to Org Wide)', 'ASU Service - Sun Devil Athletics', 'ASU Service - Office of the President (Temp Access to Org Wide)', 'ASU Service - ASU-USA Pathways', 'ASU Service - First in the World Grant', 'ASU Service - ITCSS Library Services', 'ASU Service - Success Coach', 'ASU Service - TC - ISSR', 'ASU Service - Academic Partnerships', 'ASU Service - Student Accessibility and Inclusive Learning Services', 'ASU Recruitment - Business Intelligence', 'System Administrator']",['Role: EdPlus Coach Portal (Non-Success Coach)'],[]
CaseListTransfer,"['ASU View All Data', 'System Administrator']",['Case: Mass Transfer Records'],['Case Management Manager']
CaseShowAllAttachments,"['ASU Service - MasterCard Program', 'ASU Service - Public Service Academy', 'ASU Service - Biosafety', 'ASU Service - New College Deans Office', 'ASU Service - Engineering - K12 Engineering Education', 'ASU Service - University Events & Protocol', 'ASU Service - Psychology Research Advancement', 'ASU Service - ASU Local', 'ASU Service - The College - Interplanetary Initiatives', 'ASU Service - Watts Bridging Success', 'ASU Service - ASU Family Programs', 'ASU Service - TC SOLS Academic Integrity', 'ASU Service - DNASU Plasmid Repository', 'ASU Recruitment - Team (ESISD)', 'ASU Service - Success Courses', 'ASU Service - Opportunities for Youth', 'ASU Service - ATCS and Study Abroad', 'ASU Service - TC - SCETL', 'API User - Ed Plus Org', 'ASU Service - Explore', 'ASU Service - College of Global Futures', 'ASU Service - Enrollment Analysis', 'ASU Service - International Students and Scholars Center SMS', 'ASU Service - Engineering - Poly HR', 'ASU Service - Information Technology Support Hub', 'ASU Service - SMS API', 'ASU Service - Design and the Arts', 'ASU Service - International Initiatives Graduate Education', 'ASU Service - W. P. Carey Business', 'ASU Service - Parking and Transit Services', 'ASU Service - First Year Success Center', 'ASU Service - Pat Tillman Veteran Center', 'ASU Service - Thunderbird', 'ASU Service - EOSS', 'ASU Service - Sun Devil Card Services', 'ASU Service - Career Services', 'ASU Service - University Academic Success Programs', 'ASU Service - Honors', 'ASU Service - Journalism', 'ASU Service - Office of the University Provost', 'ASU Service - TC - AIS', 'ASU Service - TC  - The Sanford School', 'ASU Service - TC - SST', 'ASU Service - TC - Army ROTC', 'ASU Service - ASU Salesforce Support', 'ASU Service - International Students and Scholars Center', 'ASU Recruitment - Graduate Recruiter', 'ASU Service - School for the Future of Innovation in Society', 'ASU Service - American Indian Student Support Services', 'ASU Service - ASU Wellness', 'ASU Service - Student Engagement', 'ASU Service - TRIO', 'ASU Service - TC - Air Force ROTC', 'ASU Service - TC - Navy ROTC', 'ASU Service - Fraternity & Sorority Life', 'ASU Service - Dean of Students', 'ASU Service - Enterprise Marketing Hub', 'ASU Service - Print Anywhere Tier 2', 'ASU Service - Sun Devil Fitness', 'ASU Service - MU Information Desk', 'ASU Service - Sun Devil Dining', 'ASU Service - Student Government', 'ASU Service - Strategic Initiatives', 'Customer Community Login User', 'ASU Read Only', 'ASU Knowledge User', 'Force.com - App Subscription User', 'ASU Marketing User', 'ASU Service - Financial Aid', 'ASU Service - Registrar', 'ASU Service - Student Business Services', 'ASU Chatter User', 'ASU View All Data', 'ASU Community', 'ASU Community CAP', 'ASU Service - ASU Online', 'ASU Service - ESM Online', 'ASU Service - Help Desk', 'ASU Service - W. P. Carey Tech Services', 'ASU Service - Tech Studio', 'ASU Service - Engineering IT', 'ASU Service - Identity Management', 'ASU Service - Student Success Innovations', 'ASU Service - Office of the President', 'ASU Service - Library Services(ARCHIVE)', 'ASU Service - Integrated Services', 'ASU Service - TEMPLATE', 'ASU Service - Graduate College', 'ASU Recruitment - Applicant Services', 'ASU Recruitment - Business Operations', 'ASU Recruitment - Freshman Recruiter', 'ASU Recruitment - Admission Services', 'ASU Recruitment - Transfer Recruiter', 'ASU Recruitment - International Recruiter', 'ASU Recruitment - Events', 'ASU Recruitment - Havasu', 'ASU Recruitment - Leads (ESISD)', 'ASU Corporate Relations', ""ASU Service - Engineering - Dean's Office"", 'ASU Service - Engineering - GOEE', 'ASU Service - Engineering - Poly', 'ASU Service - Engineering - SBHSE', 'ASU Service - Engineering - SEMTE', 'ASU Service - Engineering - SSEBE', 'ASU Service - Engineering - ECEE', 'ASU Service - Engineering - CIDSE', 'ASU Service - Access ASU Outreach', 'ASU Service - New Student Programs', 'ASU Service - University Housing', 'ASU Training - College of ASU', 'ASU Training - Department of ASU', 'ASU Service - Sustainability', 'ASU Service - Teachers College', 'ASU Service - Public Service', 'ASU Service - Nursing', 'ASU Service - Health Solutions', 'ASU Service - New College', 'ASU Service - Universal Learner Courses', 'ASU Service - LMS Support', 'ASU Service - Academic Transfer Credit Solutions', ""ASU Service - TC - Dean's Office"", 'ASU Service - TC - English', 'ASU Service - TC - SILC', 'ASU Service - TC - SHPRS', 'ASU Service - TC - SESE', 'ASU Service - TC - SOLS', 'ASU Service - TC - SoMSS', 'ASU Service - TC  - SMS', 'ASU Service - TC - Physics', 'ASU Service - TC - Psychology', 'ASU Service - Curricular Activities and Actions', 'ASU Chatter Marketing Cloud User', 'ASU Service - TC - STS', 'ASU Service - TC - SGSUP', 'ASU Service - TC - HDSHC', 'ASU Service - TC - SPGS', 'ASU Service - TC - SHESC', 'ASU Service - Integrative Sciences and Arts', 'ASU Service - Global Education Office', 'ASU Service - Student & Cultural Engagement', 'ASU Service - International Student Engagement', 'ASU Service - Changemaker Central', 'ASU Recruitment - Freshman Recruiter (Temp Access to Org Wide)', 'ASU Service - Sun Devil Athletics', 'ASU Service - Office of the President (Temp Access to Org Wide)', 'ASU Service - ASU-USA Pathways', 'ASU Service - First in the World Grant', 'ASU Service - ITCSS Library Services', 'ASU Service - Success Coach', 'ASU Service - TC - ISSR', 'ASU Service - Academic Partnerships', 'ASU Service - Student Accessibility and Inclusive Learning Services', 'ASU Recruitment - Business Intelligence', 'System Administrator', 'Standard User', 'Solution Manager', 'Marketing User', 'Contract Manager']","['Additional Administrator Permissions', 'Role: EdPlus Coach Portal (Non-Success Coach)']",[]
CaseTransfer,"['ASU Service - MasterCard Program', 'ASU Service - Public Service Academy', 'ASU Service - Biosafety', 'ASU Service - New College Deans Office', 'ASU Service - Engineering - K12 Engineering Education', 'ASU Service - University Events & Protocol', 'ASU Service - Psychology Research Advancement', 'ASU Service - ASU Local', 'ASU Service - The College - Interplanetary Initiatives', 'ASU Service - Watts Bridging Success', 'ASU Service - ASU Family Programs', 'ASU Service - TC SOLS Academic Integrity', 'ASU Service - DNASU Plasmid Repository', 'ASU Recruitment - Team (ESISD)', 'ASU Service - Success Courses', 'ASU Service - Opportunities for Youth', 'ASU Service - ATCS and Study Abroad', 'ASU Service - TC - SCETL', 'ASU Service - Explore', 'ASU Service - College of Global Futures', 'ASU Service - Enrollment Analysis', 'ASU Service - International Students and Scholars Center SMS', 'ASU Service - Engineering - Poly HR', 'ASU Service - Information Technology Support Hub', 'ASU Service - SMS API', 'ASU Service - Design and the Arts', 'ASU Service - International Initiatives Graduate Education', 'ASU Service - W. P. Carey Business', 'ASU Service - Parking and Transit Services', 'ASU Service - First Year Success Center', 'ASU Service - Pat Tillman Veteran Center', 'ASU Service - Thunderbird', 'ASU Service - EOSS', 'ASU Service - Sun Devil Card Services', 'ASU Service - Career Services', 'ASU Service - University Academic Success Programs', 'ASU Service - Honors', 'ASU Service - Journalism', 'ASU Service - Office of the University Provost', 'ASU Service - TC - AIS', 'ASU Service - TC  - The Sanford School', 'ASU Service - TC - SST', 'ASU Service - TC - Army ROTC', 'ASU Service - ASU Salesforce Support', 'ASU Service - International Students and Scholars Center', 'ASU Recruitment - Graduate Recruiter', 'ASU Service - School for the Future of Innovation in Society', 'ASU Service - American Indian Student Support Services', 'ASU Service - ASU Wellness', 'ASU Service - Student Engagement', 'ASU Service - TRIO', 'ASU Service - TC - Air Force ROTC', 'ASU Service - TC - Navy ROTC', 'ASU Service - Fraternity & Sorority Life', 'ASU Service - Dean of Students', 'ASU Service - Enterprise Marketing Hub', 'ASU Service - Print Anywhere Tier 2', 'ASU Service - Sun Devil Fitness', 'ASU Service - MU Information Desk', 'ASU Service - Sun Devil Dining', 'ASU Service - Student Government', 'ASU Service - Strategic Initiatives', 'ASU Service - Financial Aid', 'ASU Service - Registrar', 'ASU Service - Student Business Services', 'ASU View All Data', 'ASU Service - ASU Online', 'ASU Service - ESM Online', 'ASU Service - Help Desk', 'ASU Service - W. P. Carey Tech Services', 'ASU Service - Tech Studio', 'ASU Service - Engineering IT', 'ASU Service - Identity Management', 'ASU Service - Student Success Innovations', 'ASU Service - Office of the President', 'ASU Service - Library Services(ARCHIVE)', 'ASU Service - Integrated Services', 'ASU Service - TEMPLATE', 'ASU Service - Graduate College', 'ASU Recruitment - Applicant Services', 'ASU Recruitment - Business Operations', 'ASU Recruitment - Freshman Recruiter', 'ASU Recruitment - Admission Services', 'ASU Recruitment - Transfer Recruiter', 'ASU Recruitment - International Recruiter', 'ASU Recruitment - Events', 'ASU Recruitment - Havasu', 'ASU Recruitment - Leads (ESISD)', ""ASU Service - Engineering - Dean's Office"", 'ASU Service - Engineering - GOEE', 'ASU Service - Engineering - Poly', 'ASU Service - Engineering - SBHSE', 'ASU Service - Engineering - SEMTE', 'ASU Service - Engineering - SSEBE', 'ASU Service - Engineering - ECEE', 'ASU Service - Engineering - CIDSE', 'ASU Service - Access ASU Outreach', 'ASU Service - New Student Programs', 'ASU Service - University Housing', 'ASU Training - College of ASU', 'ASU Training - Department of ASU', 'ASU Service - Sustainability', 'ASU Service - Teachers College', 'ASU Service - Public Service', 'ASU Service - Nursing', 'ASU Service - Health Solutions', 'ASU Service - New College', 'ASU Service - Universal Learner Courses', 'ASU Service - LMS Support', 'ASU Service - Academic Transfer Credit Solutions', ""ASU Service - TC - Dean's Office"", 'ASU Service - TC - English', 'ASU Service - TC - SILC', 'ASU Service - TC - SHPRS', 'ASU Service - TC - SESE', 'ASU Service - TC - SOLS', 'ASU Service - TC - SoMSS', 'ASU Service - TC  - SMS', 'ASU Service - TC - Physics', 'ASU Service - TC - Psychology', 'ASU Service - Curricular Activities and Actions', 'ASU Service - TC - STS', 'ASU Service - TC - SGSUP', 'ASU Service - TC - HDSHC', 'ASU Service - TC - SPGS', 'ASU Service - TC - SHESC', 'ASU Service - Integrative Sciences and Arts', 'ASU Service - Global Education Office', 'ASU Service - Student & Cultural Engagement', 'ASU Service - International Student Engagement', 'ASU Service - Changemaker Central', 'ASU Recruitment - Freshman Recruiter (Temp Access to Org Wide)', 'ASU Service - Sun Devil Athletics', 'ASU Service - Office of the President (Temp Access to Org Wide)', 'ASU Service - ASU-USA Pathways', 'ASU Service - First in the World Grant', 'ASU Service - ITCSS Library Services', 'ASU Service - Success Coach', 'ASU Service - TC - ISSR', 'ASU Service - Academic Partnerships', 'ASU Service - Student Accessibility and Inclusive Learning Services', 'System Administrator']","['Additional BA Permissions', 'Case View-Create-Edit Admission Services', 'Role: EdPlus Coach Portal (Non-Success Coach)']",[]
CaseTransferMass,"['ASU Service - Success Coach', 'System Administrator']","['Case Management Full Access', 'Role: Academic Advisor Portal (Service Users)', 'Role: EdPlus Coach Portal (Non-Success Coach)']",[]
ChangePassword,"['ASU View All Data', 'System Administrator']",['Additional Administrator Permissions'],[]
CoachPortalMainPage,"['ASU Service - Success Coach', 'System Administrator']",['Role: EdPlus Coach Portal (Non-Success Coach)'],[]
CommunicationHistory,"['ASU Service - MasterCard Program', 'ASU Service - Public Service Academy', 'ASU Service - Biosafety', 'ASU Service - New College Deans Office', 'ASU Service - Engineering - K12 Engineering Education', 'ASU Service - University Events & Protocol', 'ASU Service - Psychology Research Advancement', 'ASU Service - ASU Local', 'ASU Service - The College - Interplanetary Initiatives', 'ASU Service - Watts Bridging Success', 'ASU Service - ASU Family Programs', 'ASU Service - TC SOLS Academic Integrity', 'ASU Service - DNASU Plasmid Repository', 'ASU Recruitment - Team (ESISD)', 'ASU Service - Success Courses', 'ASU Service - Opportunities for Youth', 'ASU Service - ATCS and Study Abroad', 'ASU Service - TC - SCETL', 'ASU Service - Explore', 'ASU Service - College of Global Futures', 'ASU Service - Enrollment Analysis', 'ASU Service - International Students and Scholars Center SMS', 'ASU Service - Engineering - Poly HR', 'ASU Service - Information Technology Support Hub', 'ASU Service - SMS API', 'ASU Service - Design and the Arts', 'ASU Service - International Initiatives Graduate Education', 'ASU Service - W. P. Carey Business', 'ASU Service - Parking and Transit Services', 'ASU Service - First Year Success Center', 'ASU Service - Pat Tillman Veteran Center', 'ASU Service - Thunderbird', 'ASU Service - EOSS', 'ASU Service - Sun Devil Card Services', 'ASU Service - Career Services', 'ASU Service - University Academic Success Programs', 'ASU Service - Honors', 'ASU Service - Journalism', 'ASU Service - Office of the University Provost', 'ASU Service - TC - AIS', 'ASU Service - TC  - The Sanford School', 'ASU Service - TC - SST', 'ASU Service - TC - Army ROTC', 'ASU Service - ASU Salesforce Support', 'ASU Service - International Students and Scholars Center', 'ASU Recruitment - Graduate Recruiter', 'ASU Service - School for the Future of Innovation in Society', 'ASU Service - American Indian Student Support Services', 'ASU Service - ASU Wellness', 'ASU Service - Student Engagement', 'ASU Service - TRIO', 'ASU Service - TC - Air Force ROTC', 'ASU Service - TC - Navy ROTC', 'ASU Service - Fraternity & Sorority Life', 'ASU Service - Dean of Students', 'ASU Service - Enterprise Marketing Hub', 'ASU Service - Print Anywhere Tier 2', 'ASU Service - Sun Devil Fitness', 'ASU Service - MU Information Desk', 'ASU Service - Sun Devil Dining', 'ASU Service - Student Government', 'ASU Service - Strategic Initiatives', 'ASU Read Only', 'ASU Marketing User', 'ASU Service - Financial Aid', 'ASU Service - Registrar', 'ASU Service - Student Business Services', 'ASU View All Data', 'ASU Service - ASU Online', 'ASU Service - ESM Online', 'ASU Service - Help Desk', 'ASU Service - W. P. Carey Tech Services', 'ASU Service - Tech Studio', 'ASU Service - Engineering IT', 'ASU Service - Identity Management', 'ASU Service - Student Success Innovations', 'ASU Service - Office of the President', 'ASU Service - Library Services(ARCHIVE)', 'ASU Service - Integrated Services', 'ASU Service - TEMPLATE', 'ASU Service - Graduate College', 'ASU Recruitment - Applicant Services', 'ASU Recruitment - Business Operations', 'ASU Recruitment - Freshman Recruiter', 'ASU Recruitment - Admission Services', 'ASU Recruitment - Transfer Recruiter', 'ASU Recruitment - International Recruiter', 'ASU Recruitment - Events', 'ASU Recruitment - Havasu', 'ASU Recruitment - Leads (ESISD)', 'ASU Corporate Relations', ""ASU Service - Engineering - Dean's Office"", 'ASU Service - Engineering - GOEE', 'ASU Service - Engineering - Poly', 'ASU Service - Engineering - SBHSE', 'ASU Service - Engineering - SEMTE', 'ASU Service - Engineering - SSEBE', 'ASU Service - Engineering - ECEE', 'ASU Service - Engineering - CIDSE', 'ASU Service - Access ASU Outreach', 'ASU Service - New Student Programs', 'ASU Service - University Housing', 'ASU Training - College of ASU', 'ASU Training - Department of ASU', 'ASU Service - Sustainability', 'ASU Service - Teachers College', 'ASU Service - Public Service', 'ASU Service - Nursing', 'ASU Service - Health Solutions', 'ASU Service - New College', 'ASU Service - Universal Learner Courses', 'ASU Service - LMS Support', 'ASU Service - Academic Transfer Credit Solutions', ""ASU Service - TC - Dean's Office"", 'ASU Service - TC - English', 'ASU Service - TC - SILC', 'ASU Service - TC - SHPRS', 'ASU Service - TC - SESE', 'ASU Service - TC - SOLS', 'ASU Service - TC - SoMSS', 'ASU Service - TC  - SMS', 'ASU Service - TC - Physics', 'ASU Service - TC - Psychology', 'ASU Service - Curricular Activities and Actions', 'ASU Service - TC - STS', 'ASU Service - TC - SGSUP', 'ASU Service - TC - HDSHC', 'ASU Service - TC - SPGS', 'ASU Service - TC - SHESC', 'ASU Service - Integrative Sciences and Arts', 'ASU Service - Global Education Office', 'ASU Service - Student & Cultural Engagement', 'ASU Service - International Student Engagement', 'ASU Service - Changemaker Central', 'ASU Recruitment - Freshman Recruiter (Temp Access to Org Wide)', 'ASU Service - Sun Devil Athletics', 'ASU Service - Office of the President (Temp Access to Org Wide)', 'ASU Service - ASU-USA Pathways', 'ASU Service - First in the World Grant', 'ASU Service - ITCSS Library Services', 'ASU Service - Success Coach', 'ASU Service - TC - ISSR', 'ASU Service - Academic Partnerships', 'ASU Service - Student Accessibility and Inclusive Learning Services', 'ASU Recruitment - Business Intelligence', 'System Administrator']",['Role: EdPlus Coach Portal (Non-Success Coach)'],[]
CommunicationHistory_CSV,"['ASU Service - Success Coach', 'System Administrator']",['Role: EdPlus Coach Portal (Non-Success Coach)'],[]
CommunitiesLanding,"['ASU Advising Community Profile', 'Jira Profile', 'Family Portal Profile', 'ASU View All Data', 'IdeaMachine Profile', 'System Administrator']",[],[]
CommunitiesLogin,"['ASU Advising Community Profile', 'Jira Profile', 'Family Portal Profile', 'ASU View All Data', 'My ASU Profile', 'IdeaMachine Profile', 'System Administrator']",[],[]
CommunitiesSelfReg,"['ASU Advising Community Profile', 'Jira Profile', 'Family Portal Profile', 'ASU View All Data', 'IdeaMachine Profile', 'System Administrator']",[],[]
CommunitiesSelfRegConfirm,"['ASU Advising Community Profile', 'Jira Profile', 'Family Portal Profile', 'ASU View All Data', 'IdeaMachine Profile', 'System Administrator']",[],[]
CommunitiesTemplate,"['ASU Advising Community Profile', 'Jira Profile', 'Family Portal Profile', 'ASU View All Data', 'IdeaMachine Profile', 'System Administrator']",[],[]
ComponentTestPage,['System Administrator'],[],[]
ConsentList_Contact,['System Administrator'],[],[]
ConsentList_Organization,['System Administrator'],[],[]
ContactUploadAddFilePage,['System Administrator'],"['Subscription-Subscriber Admin', 'Subscription-Subscriber View']",[]
ConversationSubTab,['System Administrator'],"['SMS Magic Academic Advising', 'SMS Magic First Year Success Coach']","['SMS Magic Users - Academic Advisors Manager', 'SMS Magic Users - Academic Advisors Staff', 'SMS Magic Users - FYS']"
Conversation_Contact,['System Administrator'],['SMS Magic User Permission'],"['SMS Magic - Ed Plus Users', 'SMS Magic Users - Academic Advisors Manager', 'SMS Magic Users - Academic Advisors Staff', 'SMS Magic Users - FYS', 'SMS Magic Users - Universal Learner Courses']"
Conversation_Organization,['System Administrator'],[],[]
